Title,Yönetmen,Yönetici  yapımcı,Sunucu,Seslendiren(ler),İlişkili programlar,Anlatıcı,Yaratıcı  yönetmen(ler),Besteci,Mekân,Yapım  şirketi,Geliştiren,Açılış müziği,Sezon sayısı,Kamera,Yayın tarihi,Dili,Kurgucu,Yapımcı,Gösterim süresi,Tema müziği bestecisi,Öykü,Sonra gelen,Proje tasarımcısı,Öykü kurgusu,Dağıtımcı firma,Bölüm sayısı,Resim formatı,Platform,Tür,Format,Yazar,Ülke,Ses formatı,Durumu,Kanal,Önce gelen,Uyarlama,Senarist,Bitiş müziği,Görüntü yönetmeni,Başrol
Kördüğüm,Gökçen Usta Çaylar,,,,,,,Tamer Çıray,"Beykoz ,  İstanbul Kocaeli Ankara İtalya [1]",Endemol Shine Turkey,,,2,,7 Ocak 2016 - 20 Ekim 2016,Türkçe,,H. Hakan Eren   Gökhan Tatarer,110 dakika,,,,,,,31 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Aşk,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,,F Klayve,,Erçin Karabulut,İbrahim Çelikkol Alican Yücesoy Saadet Işıl Aksoy Belçim Bilgin
Toprak ile Fidan,Eray Koçak Atilla Cengiz,,,,,,,Murat Evgin,İstanbul,OGM Pictures Stellar Yapım,,,1,,31 Ekim 2022 - 21 Nisan 2023,Türkçe,,İnci Gülen Oarr,50 dakika,,Ahmet Köşeoğlu,,,,,100,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV,,,Ahmet Köşeoğlu Gökçen Eroğlu İnan Güngören Can Özdemir Banu Özyürek Nur Kıymaç,,,Hazal Adıyaman Osman Aydın
Familya,Can Yücel,,,,,,,Kerem Türkaydın Cem Tuncer,İstanbul,TMC Film,,,1,,20 Eylül 2016 - 22 Kasım 2016,Türkçe,,Erol Avcı,100 dakika,,,Bir Deli Sevda  (2017),,,,10 ( bölümleri listesi ),576i  ( SDTV ) 1080i  ( HDTV ),,Komedi Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,,Uğraş Güneş,,Ali Murat Altınışık,Uğur Yücel Erkan Kolçak Köstendil Bülent Emrah Parlak Murat Ceylan
Kanıt: Ateş Üstünde,Abdullah Oğuz,,,,,,,Yıldıray Gürgen,İstanbul,ANS Productions,,,1,,12 Temmuz 2016 - 30 Ağustos 2016,Türkçe,,Abdullah Oğuz Muzaffer Yıldırım,120 dakika,,,,,,,8 ( bölümleri listesi ),480i  ( SDTV ) 1080i  ( HDTV ),,Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,Kanıt  (2010-2013),,Ahmet Saatçioğlu Pınar Erkum Alper Pala,,Ferhat Uzundağ,Tansel Öngel Başak Güröz Ahmet Olgun Sünear Gurur Aydoğan Okday Korunan Müge Mertson Ebru Aytemur Mustafa Açılan Hayati Akbaş
Yeni Evli,,,,,,,,,,Tunga Film,,,1,,Temmuz 2007 - Nisan 2008,Türkçe,,,35 dakika,,,,,,,175,576i  ( 16:9 SDTV ),,,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1  (2007-2008),,,,,,
Kaçak Gelinler,İnci Balabanoğlu Ahıska,,,,,,,Cem Özkan Harems,İstanbul İzmir,NTC Medya,,,1,,30 Haziran 2014 - 22 Ocak 2015,Türkçe,,Mehmet Yiğit Alp,110 dakika,,,,,,,29,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi Romantik,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,"Star TV  (2014, 1-14.  bölüm) TV8  (2014-2015, 15-29. bölüm)",,,Engin Elgün Ekin Atalar Ayşin Akbulut Atasoy Koç,,İlker Erdoğan,Selin Şekerci Açelya Topaloğlu Deniz Baysal
Aşkın Yolculuğu: Hacı Bayram-ı Veli,Kamil Aydın (1-5) Yücel Hüdaverdi  (5-26),,,,,,,Gürkan Çakıcı,İstanbul,Tekden Film,,,1,,11 Şubat 2022 - 28 Nisan 2022,Türkçe,,Kemal Tekden,120 dakika,,,,,,,26 ( bölümleri listesi ),576i  ( SDTV 16:9 ) 1080i  ( HDTV ),,Tarihî Kurgu Dinî,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,Yunus Emre Aşkın Yolculuğu  (2015-2016),,İsa Yıldız  (1-26) Fatma Nur Güldalı  (1-26) Ali Ozan Salkım  (1-26),,Murat Karabina,Burak Sevinç
Meryem,Barış Erçetin,,,,,,,,İstanbul,TMC Film,,,1,,2 Ağustos 2017 - 28 Şubat 2018,Türkçe,,Erol Avcı,130 dakika,,,,,,,30,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Aşk,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Meryem Gültabak İlke Gürsoy,,,Furkan Andıç Ayça Ayşin Turan Cemal Toktaş
Dengi Dengine,Osman Nail Doğan Murad Zaloğlu,Rahmi Kukul,,,,,,Ali Saran,İstanbul,İstanbul Medya Akademisi,,Dengi Dengine jenerik,1,,3 Haziran 2019 - 7 Haziran 2019,Türkçe,,Ogün Şanlıer İbrahim Elma,100-110 dakika,,Aykut Yıldırım,,Osman Nail Doğan,,,5,16:9 1080p,,Komedi Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,Optik Düşler Senaryo Grubu,Dengi Dengine jenerik,Serdar Özdemir,Su Kutlu Bora Akkaş Baran Can Eraslan Murat Kekilli Şinasi Yurtsever Altan Erkekli Benian Dönmez Jale Aylanç
Kraliçe,"Cevdet Mercan  (1-8, 11) Serhan Şahin (9-10)",,,,,,,Alper Ketenci,İstanbul,Mednova,,,1,,22 Mart 2023 - 7 Haziran 2023,Türkçe,,Selen Sevigen Gülümsün Özkök,100 dakika,,,,,,,11,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,Queen Sugar,Serdar Soydan  (1) Kerem Bozok  (1) Ekin Akçay  (1) Nil Güleç Ünsal  (2-11)  Özlem İnci Hekimoğlu  (2-11),,,Burcu Özberk Gökhan Alkan Selin Şekerci Özgün Karaman
Kötü Yol,Nisan Akman,,,,Kötü Yol (roman),,,,İstanbul,Gold Film,,,1,,26 Temmuz 2012 - 6 Kasım 2012,Türkçe,,Faruk Turgut,90 dakika,,,,,,,13 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi.,Kanal D  ( HD ),,,,,,Cansel Elçin Şükran Ovalı İlker Aksum
Adanalı,Adnan Güler   Bora Onur  Tayfun Güneyer,,,,,,,Ceza  Despo  İlkay Akkaya İzel Yalın,,Kuzey Prodüksiyon,,,3,,7 Kasım 2008  ( 2008-11-07 )  -  7 Kasım 2010  ( 2010-11-07 ),Türkçe,,Ali Gündoğdu   İnci Kırhan Gündoğdu  Mehmet Yiğit Alp,90 dakika,,,,Tayfun Güneyer,,,79 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Dram Komedi Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Tayfun Güneyer (1-79)   Alev Toprakoğlu (74-79)   Hale Calap (75-79),Ceza  – Fark Var,Nihat Düşko,Oktay Kaynarca Mehmet Akif Alakurt Ekin Türkmen Cemal Hünal Selin Demiratar Serenay Sarıkaya Çağkan Çulha Eda Özerkan Umut Oğuz
Vazgeç Gönlüm,,,,,,,,,,Gold Film,,,2,,2007 - 18 Ekim 2008,Türkçe,,Faruk Turgut,,,,,,,,47,4:3,,Dram Aksiyon,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV,,,,,,Murat Han İrem Altuğ Bulut Aras
Babam Çok Değişti,Hakan Algül,,,,İyi Aile Babası (2020),,,Batuhan Fırat,,Süreç Film,,,1,,3 Aralık 2020 - 28 Ocak 2021,Türkçe,,Ali Gündoğdu İsmail Gündoğdu,130 dakika,,Tayfun Güneyer,,,Selçuk Aydemir  (1-4),,8,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi,Televizyon dizisi,Deniz Gök  (5-8) Etem Caner Karauç  (5-8) Ahmet Ülkü  (5-8) Bektaş Erdoğan  (5-8),Türkiye,Stereo,Sona erdi,Kanal D,,,Erdal Şahin  (1-4)  Birol Güven  (5-8),,Mustafa Nuri Eser,Çağlar Çorumlu Şebnem Bozoklu Melek Baykal Salih Kalyon Timur Acar
Yemin,Hakan Arslan Reyhan Pekar,,,,,,,,İstanbul,Karamel Yapım,,,4,,18 Şubat 2019 - 9 Ekim 2022,Türkçe,,,60-70 dakika,,,,,,,503,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Pembe dizi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal 7,,,Nazmiye Yılmaz,,,Gökberk Demirci Setenay Süer Can Verel Yağmur Şahbazova Özge Yağız Cansu Tuman
Pertev Bey'in Üç Kızı,Tunç Başaran,,,,,,,,,TRT,,,1,,2006 - 2006,Türkçe,,,,,,,,,,6,,,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,Zülküf Yücel,,,Serdar Gökhan Deniz Evrenol Deniz Gökçer Başak Daşman Damla Sönmez Orhan Aydın Itır Esen
İffet,Faruk Teber,,,,"İffet (film, 1982)",,,Mehmet Andiçen Barış Aryay,İstanbul,Gold Film,,,2,,17 Eylül 2011 - 24 Eylül 2012,Türkçe,Ahsen Tüzün,Faruk Turgut,90 dakika,,,,Zülküf Yücel,,,40 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  ( HD ),,,Can Sinan,,Oktay Başpınar,Deniz Çakır İbrahim Çelikkol Mahir Günşiray
No: 309,Hasan Tolga Pulat Emre Kavuk,,,,,,,Volkan Akmehmet İnanç Şanver,İstanbul,Gold Film,,,2,,1 Haziran 2016 - 25 Ekim 2017,Türkçe,,Faruk Turgut Şenay Abacı Turgut,150 dakika,,,,,,,65 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Romantik komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,,Banu Zengin Aslı Zengin,,,Demet Özdemir Furkan Palalı
Bay Kamber,Ünal Küpeli,,,,,,Şener Işık,Gökhan Kırdar Can Atilla,,Doku Film,,,1,,11 Ekim 1994 - 20 Aralık 1994,Türkçe,,,,,,,,,,11,,,Komedi Macera Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV,,,Oya Yüce,,,Kemal Sunal Ebru Şimşek Murat Aydın Bülent Bilgiç Necdet Yakın Emrah Demirci
Beni Böyle Sev,Cem Tabak Levent Türkan,,,,Beni Böyle Sev (film),,,,"İstanbul ,  Tuzla Suadiye Pendik Sarıyer",BSK Yapım,,Beni Böyle Sev ( Orhan Gencebay  şarkısı),3,Kadir İnci,11 Şubat 2013 - 27 Şubat 2015,Türkçe,,Çağrı Bingüller Başak Bingüller,110 dakika,Günay Uysal,,,Hakan Haksun,,,89 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aşk Gençlik Romantik komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1  ( HD ),,,Hakan Haksun Müjdan Kayserli,Beni Böyle Sev,,Alper Saldıran Zeynep Çamcı Burcu Altın Bala Atabek Umut Kurt Eda Ece Ozan Osmanpaşaoğlu Mert Turak Burcu Biricik Yusuf Akgün Selen Uçer Fatih Koyunoğlu Meral Asiltürk Serkan Çayoğlu Altan Gördüm Lale Mansur Güven Kıraç Zafer Algöz
Gülbeyaz,Özer Kızıltan,,,,,,,,İstanbul Amasra,eyeQ prodiction,,,1,,13 Aralık 2002 - 27 Haziran 2003,Türkçe,,,45-50 dakika,Kazım Koyuncu,,,Tomris Giritlioğlu,,,26 ( bölümleri listesi ),480i  ( 4:3 SDTV ),,Macera Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Rüya İşçileri Meriç Demiray Cenk Bogatur Cem Görgeç Barış Erdoğan,,,Şevval Sam Nejat İşler Meral Çetinkaya Kamran Usluer Bora Ayanoğlu Yeşim Ceren Bozoğlu
Zalim İstanbul,Cevdet Mercan  (1-25)  Gökçen Usta  (26-32)  Şenol Sönmez  (33-39),,,,,,,Alp Yenier,İstanbul Hatay,Avşar Film,,,2,,1 Nisan 2019 - 22 Haziran 2020,Türkçe,Alfa  (1-9)  Ahmet Teke  (10-39),Şükrü Avşar,120 dakika,,Sırma Yanık,,,,,39,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D HD,,,Aysun Erdoğan  (26-39)  Seda Çakır Avunduk  (26-39)  Tunus Tașçı  (26-27)  Özlem Tasağal Yakıçı  (29-39)  Baykut Badem  (33-35),,Volkan Aslan,Fikret Kuşkan Deniz Uğur Mine Tugay Mehmet Ozan Dolunay Sera Kutlubey Berker Güven Simay Barlas İdris Nebi Taşkan Bahar Şahin
Kanatsız Kuşlar,Kemal Uzun,Şebnem İlker,,,,,,,İstanbul,Koliba Film,,,1,,15 Haziran 2017 - 24 Mayıs 2018,Türkçe,,Ata Türkoğlu,140 dakika,,,,Ata Türkoğlu,,,46,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Hakan Haksun Mert Meriçli Eda Karakoç Pervin Bozan Elif Başaran Burak Kumdakçı,,,Melis Tüzüngüç Ümit İbrahim Kantarcılar Ayten Gökçer Ahmet Varlı Deniz Bolışık Fatih Al Seda Türkmen Servet Pandur Evren Bingöl Gizem Güneş Emir Özden Eliz Neşe Çağın Sinem Karel Gürtekin Emre Melemez Yusuf Baymaz Kahraman Sivri
Hayati ve Diğerleri,Metin Balekoğlu,,,,,,,,İstanbul,1441 Productions,,,1,,19 Kasım 2017 - 17 Temmuz 2018,Türkçe,,İrfan Şahin,120 dakika,Eypio,,,,,,6 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Onur Özcan Murat Özsoy,,Bekir Toplar,Celil Nalçakan Günay Karacaoğlu Levent Ülgen Bülent Çolak Bahtiyar Engin İbrahim Selim Gökhan Kıraç Aybike Esin Tumluer Tolga Deniz Edip Tepeli
Çocuklar Ne Olacak,Raşit Çelikezer,,,,,,,,,,,,1,,15 Eylül 2004 - 6 Mayıs 2005,Türkçe,,Birol Güven,,,,Çocuklar Duymasın (2010-2012),,,,26,,,Aile Komedi,Televizyon dizisi,,Türkiye,,Sona erdi,Star TV  (2004-2005),Çocuklar Duymasın (2002-2004),,Metin Açıkgöz,,,Ayşecan Tatari Furkan Kızılay Özgür Ozan Zeyno Günenç Ferdi Akarnur Ayşen Tekin
Mihriban,Yalçın Yelence,,,,,,,,,TRT Gold Film,,,1,,2002 - 2003,Türkçe,,Faruk Turgut,,,,,,,,12,,,Dram,Televizyon dizisi,,Türkiye,,Sona erdi,TRT 1,,,İlker Arslan Berrin Tekdemir,,,Hülya Koçyiğit Sevinç Gürşen Akyıldız Lemi Filozof Erdal Özyağcılar Oktay Korunan Ebru Gediz Cevdet Arıcılar
Kocamın Ailesi,Kemal Uzun,,,,,,,,İstanbul,Mia Yapım,,,2,,3 Temmuz 2014 - 11 Kasım 2015,Türkçe,,Banu Akdeniz,135 dakika,,,,,,,57 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aile Romantik komedi Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX  ( HD ),,,Nuray Uslu Verda Pars Şeyda Delibaşı,,,Gökhan Alkan Yeliz Kuvancı Selen Seyven
Zehirli Çiçek,,,,,,,,,,Erler Film,,,2,,21 Mart 2000  ( 2000-03-21 ) [1]  -  26 Aralık 2000  ( 2000-12-26 ) [2],Türkçe,,Türker İnanoğlu,50 dakika,,,,,,,21,,,Dram Gerilim,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV,,,,,,Tuğba Özay Çağla Şıkel Aysun Kayacı Özlem Savaş Burak Hakkı Kerem Alışık Faruk Peker Tarık Tarcan Karahan Çantay Levent Özdilek Petek Dinçöz Zuhal Topal Sibel Gökçe Güneş Berberoğlu Efgan Efekan Ahmet Uz Semra Dinçer Orçun Sonat
Yeni Hayat,Başak Soysal Cem Özüduru,,,,,,,Fırat Yükselir,İstanbul,OJO Pictures,,,1,,3 Eylül 2020 - 29 Ekim 2020,Türkçe,,Ömer Özgüner Ümmü Burhan,130 dakika,,,,,,Kanal D,9,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Elif Usman Serdar Soydan Deniz Büyükkırlı,,Ümit Çakmaksoy,Serkan Çayoğlu Melisa Aslı Pamuk Tayanç Ayaydın Nilperi Şahinkaya
Koçum Benim,Vecihi Ener Serdar Akar,,,,,,,,,Replik Ajans,,,2,,7 Mart 2002 - 4 Nisan 2003,Türkçe,,Hüseyin Apaydın,,,,,,,,47,4:3,,Komedi Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1  (2002-2003),,,Yonca Akasya,,,Tarık Akan Ebru Cündübeyoğlu Engin Altan Sevil Üstekin Zihni Göktay Ozan Güven Yunus Günçe
Şaşıfelek Çıkmazı,Mahinur Ergun (1996-1998) Çağan Irmak  (2001),,,,,,,,,,,,4,,,Türkçe,,Sinan Yaka,,,,,,,,63,4:3,,,Televizyon dizisi,Mahinur Ergun,Türkiye,Stereo,Sona erdi,"TRT 1  (1996-1998), (2001)",,,,,,Derya Alabora Zuhal Gencer Fikret Kuşkan Füsun Demirel Dilaver Uyanık Suzan Aksoy Mahperi Mertoğlu Aysun Metiner Hakan Tanfer
Bir Aşk Uğruna,Tunca Yönder,,,,,,,,,Mine Film,,,1,,24 Ekim 1994 - 25 Aralık 1994,Türkçe,,,,,,,,,,10,4:3,,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Nuran Devres Safa Önal,,,Türkân Şoray Can Gürzap Faruk Peker
Utanmaz Adam,Tunca Yönder,,,,,,,,İstanbul,,,,1,,,Türkçe,,,45 dakika,,,,,,,6,4:3,,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv  (1998),,,Sedat Bilgin Emrah Kolukısa Okan Bayülgen,,,Okan Bayülgen Zafer Algöz Bennu Yıldırımlar Settar Tanrıöğen
İstanbul’un Altınları,Haluk Özenç,,,,,,,,İstanbul,,,İstanbul'un altınları jenerik,1,,5 Ağustos 2011 - 13 Aralık 2011,Türkçe,,,60 dakika,,,,,,,16,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,,İstanbul'un altınları jenerik,,Haluk Bilginer Demet Akbağ Salih Kalyon
Canan,Bahadır İnce,,,,Canan (roman),,,,İstanbul,Koliba Film,,,2,,9 Şubat 2011 - 19 Ekim 2011,Türkçe,,Ata Türkoğlu,100 dakika,Nail Yurtsever,,,,,,28 ( bölümleri listesi ),576i  ( 16:9 SDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,,Orçun Okşar Mert Meriçli Nilüfer Zeynep Özçelik Yelda Eroğlu,,,Gamze Özçelik Özlem Conker Ragıp Savaş Erdinç Gülener Neriman Uğur Mehmet Atay
Melekler Korusun,Cevriye Demir Kerem Çakıroğlu,,,,,,,,İstanbul 'daki Stüdyolar,Tims Productions,,,2,,1 Ocak 2009 - 6 Ağustos 2010,Türkçe,,Timur Savcı,120 dakika (reklamlarla birlikte),,,,,,,73,4:3,,Dram Gençlik,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV  (2009-2010),,,Eylem Canpolat Sema Ergenekon,,,Özge Özpirinçci Selin Şekerci Rojda Demirer Hümeyra Avni Yalçın Serkan Altunorak Mahperi Mertoğlu Yıldız Kültür Alper Saldıran Ömer Köse Taner Barlas Cem Aktaş  Şebnem Gürsoy Şamil Kafkas Zeynep Köse Ceylan Dizdar Cansın Özyosun
Şubat Soğuğu,Murat Saraçoğlu  (1-6) Gürsel Ateş (7-14) Etka Yeşiltepe (15) Sabri Saydam (16-28) Demir Keskin (29-63) Avni Kütükoğlu (64-78),,,,,,,,,,,,2,,21 Eylül 2004  ( 2004-09-21 ) [1]  -  30 Haziran 2006  ( 2006-06-30 ) [2] [3],Türkçe,,Ahmet Gül,90 dakika,Aria,,,,,,78 ( bölümleri listesi ),,,Dram Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Samanyolu TV,,,Mahmut Bengi,,,Kenan Bal Suavi Eren
Ayşecik,Ayhan Önal Gürsel Ateş,,,,,,,,,,,,2,,25 Temmuz 1997 - 22 Mart 2000,Türkçe,,,,,,,,,,184,576i  ( 16:9 SDTV ),,Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV  (1997-2000),,,,,,Ecem Kanun
Güvercin,Altan Dönmez,,,,,,,,Gaziantep,Pastel Film,,,1,,24 Kasım 2019 - 28 Ekim 2020,Türkçe,,Yaşar İrvül,120 dakika,,,,,,,16,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  (2019-2020),,,Halil Özer,,,Mehmet Ali Nuroğlu Almila Ada Menderes Samancılar Nursel Köse
Arka Sıradakiler,"Hamdi Alkan (1-160, 171-193) Ali Bilgin  (161-170)",,,,,,,,İstanbul,MinT Prodüksiyon Best Prodüksiyon,,,6,,30 Eylül 2007 - 10 Haziran 2012,,,Birol Güven,100 dakika,Aydın Sarman Burcu Güven,,,Birol Güven,,,193 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Gençlik Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX  (2007-2011)  TNT  (2012),,,Nur Özlem Elginöz Birol Elginöz Yelda Açıkgöz Müfit Can Saçıntı Aysen Teker Sema Ali Erol,,,Bülent Emin Yarar Bülent Çetinaslan Sinem Öztürk Barış Atay Mengüllü Pelin Akil Fırat Çöloğlu
Avlu,Yüksel Aksu  (1-44) Hülya Gezer  (2-44) Şafak Bal  (2-44),Oya Yüce,,,,,,,İstanbul,Limon Film,,,2,,29 Mart 2018 - 30 Mayıs 2019,Türkçe,,Hayri Aslan,120-130 dakika,,,,,,FremantleMedia,44,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Suç,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,Star TV,,Wentworth,Ahmet Yurdakul,,Veysel Tekşahin,Demet Evgar Ceren Moray Nursel Köse
İki Dünya Arasında,Fatih Derin Muhammet Gök,,,,,,,Galata,İstanbul Suriye,Ser Film,,"""İki Dünya Arasında Jenerik Müziği""",4,,2 Temmuz 2012 - 13 Kasım 2015,Türkçe,,Murat Kesgin,105 dakika,Cenk Dönmez,,,,,ITEP Pictures,705,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Aile,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,Samanyolu TV,,,Erkan Çıplak,"""İki Dünya Arasında Jenerik Müziği""",Adem Gökbulak,İnanç Ömer Benlioğlu Başak Zebil Sevinç Kumaş Gökben Derviş
Hakim,Erkan Tunç (1-4) Süleyman Mert Özdemir (1-5) Osman Taşcı  (6-7) Günay Günaydın  (8-10),,,,,,,,İstanbul,Limon Film,,,1,,4 Nisan 2022 - 13 Haziran 2022,Türkçe,,Hayri Aslan,120 dakika,,,,,,,10,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Suç Aksiyon,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,Your Honor,Yılmaz Şahin  (1-5) Çağla Kızılelma (1-5) Gökhan Şeker (4-5) Ali Doğançay (6-10),,,Erdal Beşikçioğlu Ebru Özkan Uğur Yücel Yurdaer Okur
Acemi Cadı,Feride Kaytan,,,,,,,,İstanbul,,,,2,,7 Temmuz 2006 - 21 Eylül 2007,Türkçe,,D Productions,60 dakika,,,,Haluk Özenç,,,58,4:3,,Fantastik Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D  (2006-2007) Star TV  (2007),,,,,,Merve Boluğur Şenay Gürler Nergis Kumbasar Çağkan Çulha
Çarpışma,"Uluç Bayraktar  (1-6, 10-24) Ahmet Katıksız  (7-9) Ufuk Hakan Eren (7-9)",,,,Çukur,,,Toygar Işıklı,İstanbul,Ay Yapım,,,1,,22 Kasım 2018 - 30 Mayıs 2019,Türkçe,,Kerem Çatay Pelin Diştaş,140 dakika,,,,,,,24,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Dram Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV,,,Ali Aydın,,Ercan Özkan,Kıvanç Tatlıtuğ Elçin Sangu Onur Saylak Melisa Aslı Pamuk Alperen Duymaz
Aziz,Recai Karagöz (1-28),,,,,,,Cem Tuncer Ercüment Orkut,İstanbul Sakarya,O3 Medya,,,1,,5 Kasım 2021 - 3 Haziran 2022,Türkçe,,Saner Ayar,120 dakika,,,,Zeynep Günay,,,28 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Dram Tarihî,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,Show TV,,,Eda Tezcan (1-22)  Ali Onur Sütsataner (23-25)  Volkan Yazıcı (26-28),,,Murat Yıldırım Damla Sönmez Simay Barlas
Merhaba Hayat,Hülya Bilban,,,,Private Practice,,,,İstanbul,Medyapım,,,1,,9 Ekim 2012 - 13 Şubat 2013,Türkçe,,,90 dakika,,,,,,,13,576i  ( SDTV ) 1080i  ( HDTV ),,Medikal Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX  ( HD ),,,,,,Vahide Perçin Yetkin Dikinciler
Tutsak,Serhan Şahin,,,,,,,,İstanbul,1441 Prodüksiyon,,,1,,19 Eylül 2017 - 14 Kasım 2017,Türkçe,,İrfan Şahin,130 dakika,,,,,,,9,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Gürkan Tanyas,,,Pamir Pekin Gülper Özdemir Caner Şahin
O Hayat Benim,Merve Girgin Yıldız Hülya Bilban Hamdi Alkan Sadullah Şentürk,,,,,,,,İstanbul,Pastel Film,,,4,,16 Şubat 2014 - 2 Mayıs 2017,Türkçe,,Yaşar İrvül Efe İrvül,170 dakika,Cem Tuncer,,,,,,131 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aşk Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,,Gül Abus Semerci Yelda Eroğlu Esin Gök Ali Ercivan Ahmet Saatçioğlu Mert Meriçli Özer Çetinel,,,Ezgi Asaroğlu Keremcem Ceren Moray
