Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Bedel,NTC Medya,1,29 Ocak 2015 - 18 Haziran 2015,Dram Aşk,atv,Necip Memili Sedef Avcı Berk Erçer
Sıfırıncı Gün,Acun Medya,1,28 Aralık 2022 - 24 Şubat 2023,Polisiye Aksiyon Dram,TV8,Engin Öztürk Berk Cankat Yiğit Özşener Aybüke Pusat Damla Colbay Sarp Akkaya
Senden Daha Güzel,Gold Film,1,7 Haziran 2022 - 17 Eylül 2022,Romantik komedi Dram Medikal,FOX,Cemre Baysel Burak Çelik
Annemizi Saklarken,OJO Pictures,1,8 Aralık 2021 - 2 Şubat 2022,Dram,Star TV,Kutsi Hande Doğandemir Yeşim Ceren Bozoğlu Hatice Aslan
Büyük Sır,Limon Yapım,1,24 Şubat 2014 - 28 Şubat 2014,Dram Gerilim,Show TV  (2014),Zeynep Ekin Öner Eda Aydınlı Deniz Gökçe Kayhan Gülin Ersoy Şevki Çepa
Gurbet Kadını,Erler Film,2,6 Ekim 2003  ( 2003-10-06 ) [1]  -  28 Haziran 2005  ( 2005-06-28 ) [2] [3] [4] [5] [6],,Show TV,Meltem Cumbul Burak Hakkı Fatma Girik
Yeni Gelin,Süreç Film,3,11 Mart 2017 - 24 Kasım 2018,Komedi Aşk Drama,Show TV  ( HD ),Jessica May Tolga Mendi
Asmalı Konak,ANS Productions D Productions,2,11 Mart 2002 - 16 Haziran 2003,Dram Duygusal,atv,Özcan Deniz Nurgül Yeşilçay Selda Alkor
Erkek Tarafı,Marmara Yapım,1,6 Eylül 2005 - 2005,Komedi,Star TV  (2005),Burak Sergen Asuman Dabak Murat Onuk Ali Düşenkalkar Kamil Güler Nejat Birecik Güler Ökten Eylem Şenkal
Cesur Yürek,Fark Film,1,13 Ekim 2016 - 16 Mart 2017,Dram Aksiyon,Show TV,Onur Tuna Rüveyda Öksüz Hüseyin Avni Danyal Hakan Yufkacıgil
Zapping Ailesi,,1,23 Aralık 1993  ( 1993-12-23 )  -  14 Nisan 1994  ( 1994-04-14 ),Aile Komedi,Kanal D,Selma Güneri Saadettin Erbil Tuna Arman Tuncay Özinel Engin Tezel Aytek Yılmaz
Uy Başuma Gelenler,Süreç Film,1,5 Temmuz 2004  ( 2004-07-05 ) [1]  -  30 Ağustos 2004  ( 2004-08-30 ) [2] [3],Komedi,Show TV,Hakan Yılmaz Başak Köklükaya Aykut Oray Nefise Karatay Mustafa Üstündağ
Hayat Türküsü,Koliba Film,2,21 Ocak 2006  ( 2006-01-21 )  -  16 Haziran 2007  ( 2007-06-16 ),Dram Genel,TRT 1,Burak Davutoğlu Devin Özgür Çınar Sermin Hürmeriç Aslı Yılmaz Tolga Evren Betül Arım Melih Görgün Haldun Boysan Uğur Çavuşoğlu Jale Aylanç İpek Atagün Canan Güven Özlem Başkaya
Yazlıkçılar,Bugay Yapım,6,1 Ağustos 1993 - 4 Ekim 1998,Aile Komedi Macera Duygusal,TRT 1  (1993-1994)  Star TV  (1995-1998),Engin Şenkan Ayşe Kökçü Ercan Yazgan Sıdıka Şenkan Güzin Özipek
Emret Komutanım,Altıoklar Film Prodüksiyon,4,23 Haziran 2005  ( 2005-06-23 ) [1] [2] [3]  -  18 Temmuz 2008  ( 2008-07-18 ) [4] [5] [6],Askeri Dram Komedi,Show TV  (2005-2007)  Kanal 1  (2008),Sarp Levendoğlu Demet Evgar Seda Akman
Savcı,Par Productions,1,12 Nisan 1992  ( 1992-04-12 )  -  5 Ekim 1992  ( 1992-10-05 ),Politik Macera,Star TV,Kadir İnanır Ani İpekkaya Aylin Arasıl Diler Saraç Gökhan Mete Mustafa Alabora İsmet Ay
Kimse Durduramaz,Star 1,1,29 Kasım 1991  ( 1991-11-29 )  -  13 Mart 1992  ( 1992-03-13 ),Komedi,Star TV,Gazanfer Özcan Gönül Ülkü Rıza Pekkutsal Göksel Kortay Gazanfer Ündüz Fulya Özcan Saltuk Kaplangı Zihni Küçümen Selahattin Taşdöğen
4N1K İlk Aşk,Fabrika Yapım,1,6 Temmuz 2018 - 28 Eylül 2018,Aşk Gençlik Komedi,FOX,
Dünya Hali,Neden Film,1,28 Temmuz 2021 - 15 Aralık 2021,Absürt komedi Drama,TRT 1,Caner Şahin Pelin Abay
Aşk Yeniden,Süreç Film,2,10 Şubat 2015 - 14 Haziran 2016,Romantik komedi,FOX  ( HD ),Özge Özpirinçci Buğra Gülsoy
Al Sancak,Bozdağ Film,1,19 Ocak 2023 - 15 Haziran 2023,Aksiyon Askeri Dram,TRT 1,Uğur Güneş Gülsim Ali
Kahraman Damat,Star 1,1,20 Mart 1992 - 20 Haziran 1992,Komedi,Star TV,Gazanfer Özcan Gönül Ülkü Halit Akçatepe Tolga Aşkıner Nilgün Belgün Toygun Ateş Rıza Pekkutsal
Kurtlar Vadisi Terör,Pana Film,1,8 Şubat 2007 - 18 Ekim 2007,Aksiyon Politik,Show TV  (2007),Necati Şaşmaz Gürkan Uygun Sönmez Atasoy Kenan Çoban
Sevgili Geçmiş,Süreç Film,1,25 Ekim 2019 - 13 Aralık 2019,Dram,Star TV,Ece Uslu Emre Kınay Sevda Erginci Seçkin Özdemir Elifcan Ongurlar Melis Sezen Özge Özacar
Kırgın Çiçekler,,3,29 Haziran 2015 - 12 Mart 2018,Dram Aile Gençlik,atv,İpek Karapınar Özgür Çevik Biran Damla Yılmaz Gökçe Akyıldız Hazar Motan Çağla Irmak Aleyna Solaker
Jet Sosyete,BKM,3,18 Şubat 2018 - 6 Mayıs 2020,Sit-com Aile,"Star TV  (2018,  1.sezon) TV8  (2018-2019,   2.sezon) puhutv  ve  Star TV  (2019-2020, 3.sezon)",Gülse Birsel Derya Karadaş Cengiz Bozkurt Sarp Apak Ayşenil Şamlıoğlu Çağlar Çorumlu Aslı Bekiroğlu ve  diğerleri
Racon: Ailem İçin,TMC,1,10 Mart 2015 - 31 Mart 2015,Dram Aksiyon Aşk,atv,Mehmet Aslantuğ Hande Doğandemir Seçkin Özdemir Barış Arduç Ekin Türkmen Sarp Akkaya Sezin Akbaşoğulları Emir Benderlioğlu Çağkan Çulha
Firar,Koliba Film,1,16 Eylül 2011 - 12 Haziran 2012,Aksiyon Aşk Suç,Star TV  ( HD ),Caner Cindoruk Didem Balçın İsmail Hacıoğlu Engin Şenkan Ece Çeşmioğlu Eda Özerkan Lila Gürmen Haldun Boysan Şafak Pakdemir Yavuz Çetin Osman Akça Eser Karabil Beyza Şekerci Necip Memili
Kazara Aşk,Koliba Film,1,24 Haziran 2021 - 30 Eylül 2021,Romantik komedi,Star TV,Ümit Kantarcılar Sude Zülal Güler
Yuvamdaki Düşman,Düş Gezginleri Film,1,25 Ocak 2018 - 1 Mart 2018,Dram,Show TV,Nebahat Çehre Aslı Tandoğan Pamir Pekin Ece Çeşmioğlu Pelin Öztekin Pelin Karahan Doğaç Yıldız
Gurbetçiler,,4,Eylül 1996 - 13 Eylül 2000,Aile Komedi Duygusal,"atv  (1996-1999, 2000)  Kanal 6  (1999)",
Yersiz Yurtsuz,Avşar Film,2,29 Mart 2007  ( 2007-03-29 ) [1] [2] [3] [4] [5] [6] [3] [4]  -  25 Eylül 2007  ( 2007-09-25 ) [7] [8] [9],Dram,atv,Ferdi Tayfur Şerif Sezer Nesrin Cavadzade Sinan Albayrak
Bir Deli Rüzgar,TMC Film,1,15 Eylül 2018 - 20 Ekim 2018,Dram,FOX,Pınar Deniz Berk Cankat Hatice Aslan Almila Ada
Kızım Nerede?,Medya Vizyon,1,17 Aralık 2010 - 30 Temmuz 2011,Suç Dram,atv,Ece Uslu Hüseyin Avni Danyal Burak Hakkı Özge Gürel Erdi Bolat Serkan Şenalp Nihan Balyalı Yonca Cevher Yenel Tolga Savacı Kamil Güler Yağmur Kaşifoğlu Soydan Soydaş Gamze Karaman Pelin Yoru Duygu Şen
Köprü,Koliba Film,2,4 Aralık 2006 [1]  - 23 Haziran 2008,Dram Macera Politik,Star TV,Erdal Beşikçioğlu Ayşegül Ünsal İpek Karapınar
46 Yok Olan,Nunova Film,1,27 Mart 2016 - 24 Haziran 2016,Psikolojik gerilim Suç,Star TV,Erdal Beşikçioğlu Melis Birkan Yasemin Allen
Doğduğun Ev Kaderindir,OGM Pictures,2,25 Aralık 2019 - 12 Mayıs 2021,Dram,TV8,Demet Özdemir İbrahim Çelikkol Engin Öztürk
Deniz Yıldızı,Focus Film,7,24 Ağustos 2009 - 16 Ekim 2015,Aile Drama Gençlik Komedi,FOX   ( HD ) (24 Ağustos 2009-20 Haziran 2014) Star TV  ( HD ) (1 Eylül 2014-12 Haziran 2015) Show TV  ( HD ) (7 Eylül 2015-16 Ekim 2015),Begüm Topçu Turay Cantuğ Turay
Umut Yolcuları,Erler Film,1,20 Ağustos 2010 - 13 Kasım 2010,Polisiye Aksiyon Dram Suç,Star TV,Zuhal Olcay Yetkin Dikinciler Haluk Piyes Sedef Avcı Bülent Alkış Zafer Alpat
Örümcek,Sedine Prodüksiyon,4,29 Ekim 1997 - 1 Eylül 2001,Dram Gerilim,Show TV,Nilüfer Kurt İpek Tenolcay Betül Arım Asuman Dabak Aykut Sözeri
Vuslat,A23 Medya,2,7 Ocak 2019 - 9 Mart 2020,Dram Aksiyon,TRT 1,Kadir Doğulu Devrim Özkan Mehmet Özgür Ümit Kantarcılar
Baba Ocağı,Sinetel Film,1,27 Haziran 2008 - 27 Haziran 2009,Aile Komedi,Star TV  (2008-2009),Engin Şenkan Ali Sürmeli Ali İpin Suzan Aksoy Burak Özçivit Selim Gülgören Uğur Demirpehlivan Gülden Dudarık Ceren Hindistan Algı Eke
Akasya Durağı,Erler Film,5,14 Temmuz 2008 - 1 Eylül 2012,Aile Komedi,"Kanal D  (2008-2011, 2012) Star TV  (2011-2012)",Zeki Alasya Melek Baykal Cezmi Baskın Levent Ülgen Onur Şan Ayça İnci Timur Acar Berk Oktay Kayhan Yıldızoğlu Pınar Aydın Tarık Ündüz Evin Esen Alp Kırşan Arda Öziri Aslı Altaylar Sitare Akbaş Suat Sungur Ümit Yesin Şeyla Halis Erol Günaydın Nilgün Belgün İlyas Salman Binnur Şerbetçioğlu Gülay Baltacı Pelin Sönmez Ateş Fatih Uçan Sema Aras Balamir Emren Sinem Ergin Zeynep Dörtkardeşler
Kırık Hayatlar,Nöbetçi Yapım Inter Medya,1,23 Ağustos 2021 - 12 Ocak 2022,Drama,Kanal D  (23 Ağustos 2021-22 Ekim 2021) teve2  (25 Ekim 2021-12 Ocak 2022),Meltem Akçöl Erdem Yılmaz
Yasemince,,12,Eylül 1993 - Ocak 2011,,"Show TV  (1993-1994, 1997-1998) atv  (1994-1995) Kanal D  (1995-1996, 2005) Star TV  (1996-1997, 1999-2000, 2001, 2002-2003, 2005) FOX  (2010-2011) Kanal 7  (2012-2015) (Tekrar bölümleri yayınlanmıştır) Kanaltürk  (2004-2016) (Tekrar bölümleri yayınlanmıştır)",Yasemin Yalçın İlyas İlbey
Üvey Baba,Yeni Yapımlar Yönder TV & Film Ltd.,6,26 Kasım 1998 - 26 Ocak 2004,Dram,"Star TV  (1998-2001), (2002-2003)  Teleon  (2002) Flash TV  (2003-2004)",Şemsi İnkaya Betül Aşçıoğlu Burçin Abdullah Seda Çetin Tunca Yönder
Elif,,5,15 Eylül 2014 - 10 Haziran 2019,Dram,Kanal 7,Selin Sezgin Volkan Çolpan Isabella Damla Güvenilir
Fırtınalar,,2,1996 - 1997,Dram Aile,Star TV  (1996-1998),Ebru Gündeş Kerem Alışık
Laf Lafı Açıyor,,,1991 - 2007,,,Cem Özer  (sunucu)
Anne,Medyapım MF Yapım,1,25 Ekim 2016 - 20 Haziran 2017,Dram Aile,Star TV,Cansu Dere Vahide Perçin Beren Gökyıldız
Gönül,Masalevi,1,13 Şubat 2006 - 3 Nisan 2006,Komedi Drama,Kanal D,Gülben Ergen Ragıp Savaş Güven Kıraç Şevket Çoruh
Çocuklar Duymasın,MinT Motion Pictures,2,23 Temmuz 2017 - 11 Nisan 2019,Komedi Dram Aile,Kanal D,Tamer Karadağlı Pınar Altuğ Zeyno Günenç Volkan Severcan Mehmet Baran Erdoğan Buse Sinem İren Öykü Güven Alp Eren Khamis Gülin İyigün
Reaksiyon,Reaksiyon Film,1,15 Eylül 2014 - 18 Aralık 2014,Aksiyon Macera Dram Derin devlet,Star TV,Erdal Beşikçioğlu İbrahim Çelikkol Nehir Erdoğan Selen Soyder Yurdaer Okur İsmail Demirci
Emret Komutanım Yeniden,,1,25 Şubat 2013 - 8 Nisan 2013,Aksiyon Askeri Komedi,Kanaltürk,Serdar Özer Didem Reze Naci Taşdöğen Bilal Çatalçekiç
Galip Derviş,Barakuda Film NBC Universal,3,21 Mart 2013 - 28 Aralık 2014,Komedi Dram Polisiye,Kanal D,Engin Günaydın Algı Eke Ersin Korkut Orhan Güner
Ben Olsaydım,STR Film,1,27 Mayıs 1991 - 19 Ağustos 1991,Komedi Sitcom,TRT 1,Gazanfer Özcan Gönül Ülkü Hadi Çaman Saltuk Kaplangı Doğu Erkan Cengiz Keskinkılıç Osman Gidişoğlu Erdoğan Dikmen Aliye Tölak
Kuzey Güney,Ay Yapım,2,7 Eylül 2011 - 26 Haziran 2013,Aksiyon Dram Polisiye,Kanal D  ( HD ),Kıvanç Tatlıtuğ Buğra Gülsoy Öykü Karayel
Binbir Gece,TMC,3,7 Kasım 2006 - 12 Mayıs 2009,Dram,Kanal D,Halit Ergenç Bergüzar Korel Tardu Flordun Ceyda Düvenci Tomris İncer Metin Çekmez
Ya Çok Seversen,Ay Yapım,1,6 Temmuz 2023 - 30 Eylül 2023,Romantik komedi,Kanal D,Kerem Bürsin Hafsanur Sancaktutan
Aysarının Zilleri,,1,19 Ocak 1992  ( 1992-01-19 ) [1]  -  2 Şubat 1992  ( 1992-02-02 ) [2],Dram,TRT 1,
Savaşçı,Limon Film,5,9 Nisan 2017 - 12 Haziran 2021,Askeri Aksiyon Dram Savaş,FOX  ( HD ),1. sezon Berk Oktay Murat Serezli Yıldız Çağrı Atiksoy Fırat Albayram Burç Kümbetlioğlu 2. sezon Berk Oktay Murat Serezli Sarp Levendoğlu Yıldız Çağrı Atiksoy Fırat Albayram Burç Kümbetlioğlu 3-4. sezon Berk Oktay Murat Serezli Sarp Levendoğlu 5. sezon Sarp Levendoğlu Murat Serezli Tamer Karadağlı Ekin Mert Daymaz
Eve Düşen Yıldırım,Medyapım,2,9 Mart 2012 - 15 Ekim 2012,Dram,Show TV,Murat Han Gizem Karaca Seda Akman Mehmetcan Mincinozlu Burcu Tuna
Çukur,Ay Yapım,4,23 Ekim 2017 - 7 Haziran 2021,Aksiyon Dram,Show TV,Aras Bulut İynemli Dilan Çiçek Deniz Ercan Kesal Perihan Savaş Şenay Gürler Erkan Kolçak Köstendil Öner Erkan Rıza Kocaoğlu Necip Memili Damla Sönmez Burak Sergen Berkay Ateş Erkan Avcı Salih Kalyon Nur Sürer Mustafa Avkıran Nejat İşler Barış Arduç Müfit Kayacan  ve  diğerleri
Yüzyıllık Mühür,,1,11 Temmuz 2016 - 20 Aralık 2016,Dönem Tarihî,TRT 1  (2016),Serkan Kuru Ali Akdal Kemal Uçar Barış Küçükgüler Yusuf Güney Yiğit Özşener Hayal Kahraman Özalp Nesrin Cavadzade Gökcan Gökmen Kuru Ecem Okçular Onuryay Evrentan Atasalihi Selda Alkor Rüchan Çalışkur Cemal Toktaş Mehmet Esen Mehmet Ali Nuroğlu Mehmet Can Mincinozlu
Bana Sevmeyi Anlat,Ay Yapım,1,26 Ağustos 2016 - 30 Ocak 2017,Romantik Dram,FOX,Kadir Doğulu Seda Bakan Mustafa Üstündağ
Elimi Bırakma,ÜS Yapım,2,22 Temmuz 2018 - 24 Aralık 2019,Dram Aşk,TRT 1,Alina Boz Alp Navruz Dolunay Soysert Seray Gözler Nihat Altınkaya Ebru Aykaç
Çilek Kokusu,Gold Film,1,24 Haziran 2015 - 27 Kasım 2015,Aşk Dram Gençlik Romantik komedi,Star TV,Demet Özdemir Yusuf Çim Ekin Mert Daymaz Mahir Günşiray Mine Tugay Murat Başoğlu Laçin Ceylan
Şimdi Onlar Düşünsün,Medyalab Yapım,1,26 Ekim 2014 - 23 Şubat 2015,Komedi,TRT 1  ( HD ),Şafak Sezer Açalya Samyeli Danoğlu Gökçe Özyol
Pembe ve Mavi,,1,5 Şubat 2005 - 26 Mart 2005,Animasyon Komedi,Kanal D,
Aşkın Tarifi,NTC Medya,1,7 Haziran 2021 - 6 Eylül 2021,Dram Romantik komedi,Kanal D,Kadir Doğulu Serra Arıtürk
Kayıp Şehir,D Productions,1,14 Eylül 2012 - 25 Mart 2013,Dram Gerilim,Kanal D  ( HD ) (2012-2013),Gökçe Bahadır Nik Xhelilaj İlker Kaleli Nazan Kesal Uğur Polat Cansu Tosun Tugay Mercan Ahmet Mekin Ayta Sözeri
Ustura Kemal,Süreç Film,1,4 Eylül 2012 - 8 Aralık 2012,Dram Tarihî,Show TV  ( HD ),Oktay Kaynarca Naz Elmas Emre Kınay
Ada Masalı,Ay Yapım,1,15 Haziran 2021 - 11 Aralık 2021,Romantik komedi Dram,Star TV,Ayça Ayşin Turan Alp Navruz
"Dedem, Gofret ve Ben",,1,2001 - 2001,Komedi Aile,TRT 1,Zeki Alasya Selma Güneri İclal Aydın Hazım Körmükçü Nejat İşler Barış Küçükgüler Halit Ergenç
Ayrılık,,2,31 Mart 2009 - 16 Şubat 2010,Aksiyon Dram,TRT 1  (2009-2010),Tuvana Türkay Türkü Hazer Erdal Bilingen
Bizim Ev,,3,7 Mart 1996 - 1998,Aile Duygusal Macera,TGRT,Cüneyt Arkın
Çarli,,2,27 Nisan 1998 - 3 Ekim 1998,Komedi,Star TV  (1998),Çarli Ercan Diler Berrin Arısoy Melodi Bağcı İlker Aksum Okan Sanlıtop
Not Defteri,Avşar Film,1,26 Mart 2014  ( 2014-03-26 )  -  25 Haziran 2014  ( 2014-06-25 ),Gençlik,FOX  ( HD ),Fatih Al Ebru Özkan Ekin Mert Daymaz Tarık Özcan Ündüz Beste Kökdemir
Destan,Bozdağ Film,2,23 Kasım 2021 - 15 Eylül 2022,Tarihî Kurgu,atv,Ebru Şahin Edip Tepeli Selim Bayraktar
Barbaros Hayreddin: Sultanın Fermanı,Es Film,1,23 Aralık 2022 - 9 Haziran 2023,Tarihî Kurgu Aksiyon Macera,TRT 1,Tolgahan Sayışman Timur Acar Ufuk Özkan Melisa Döngel Arif Pişkin Hasan Küçükçetin Bahadır Yenişehirlioğlu
Ya İstiklal Ya Ölüm,Kirli Kedi,1,16 Mart 2020 - 20 Nisan 2020,Tarihî Kurgu,TRT 1,İlker Kızmaz Birkan Sokullu Dolunay Soysert Osman Sonant Mehmet Özgür Rıza Kocaoğlu Hilmi Cem İntepe Melis Sezen
Tetikçinin Oğlu,O3 Medya Same Film,1,11 Nisan 2023 - 6 Haziran 2023,Dram Aksiyon,FOX,Şevket Çoruh Timuçin Esen Genco Özak
Adını Feriha Koydum: Emir'in Yolu,Medyapım,1,7 Eylül 2012 - 17 Kasım 2012,Dram,Show TV  (2012)  teve2  (Tekrar),Çağatay Ulusoy Gizem Karaca Furkan Andıç Yusuf Akgün Zeynep Çamcı Metin Çekmez Deniz Uğur Ahu Sungur Sedef Şahin
Aramızda Kalsın,TMC Film,2,19 Eylül 2013 - 22 Ocak 2015,Aile Dram Komedi,Star TV  ( HD ),Uğur Yücel Binnur Kaya Gökçe Bahadır Caner Cindoruk Cengiz Bozkurt Ayça Damgacı Uğur Serhan Bilge Şen Hikmet Körmükçü Gamze Karaduman Ferit Aktuğ Ecem Çalık Mert Kurdal Mutlu Güney Tülay Bursa Melis Mutluç Aybars Kartal Özson Özge Özpirinçci Mesut Özkeçeci
Dadı,Medyapım,3,5 Ocak 2001 - 28 Ekim 2002,Komedi Sit-com,Show TV  (2001)  Star TV  (2002),Gülben Ergen Kenan Işık Haldun Dormen Seray Sever Sinem Kobal İlkay Saran Yaşar Abravaya Gökçe Uzuner Tanju Tuncel Ercan Süt Alp Emre Kököz Altuğ Yücel
8. Gün,Ay Yapım,1,19 Mart 2018 - 7 Mayıs 2018,Aksiyon Dram,atv,Burcu Biricik Musa Uzunlar Buğra Gülsoy Ceyda Düvenci Cem Davran Yiğit Kirazcı Hakan Kurtaş Gökçe Yanardağ Sermet Yeşil
Fırat,,1,1997 - 1998,Drama,Star TV,Aydemir Akbaş Gülben Ergen Atilla Pakdemir İbrahim Tatlıses
Kuzey Yıldızı İlk Aşk,Süreç Film,2,14 Eylül 2019 - 15 Mayıs 2021,Komedi Romantik,Show TV,İsmail Demirci Aslıhan Güner
Fatmagül'ün Suçu Ne?,Ay Yapım,2,16 Eylül 2010 - 21 Haziran 2012,Dram,Kanal D  ( HD ),Beren Saat Engin Akyürek
Kızlar Yurdu,Arajans,1,1 Şubat 1992 - 27 Temmuz 1992,Aile Komedi,Teleon,Perran Kutman Alev Emre Ali Berge Özdemir Han Ali Karagöz Anıl Dalgıç
Yüksek Sosyete,Bi Yapım,1,16 Haziran 2016 - 24 Aralık 2016,Romantik komedi,Star TV,Hazar Ergüçlü Engin Öztürk Meriç Aral Ozan Dolunay Zuhal Olcay
Sevda Çiçeği,Süreç Film,1,19 Haziran 2006 - 8 Aralık 2006,Romantik komedi,Show TV,Gökhan Özen Yasemin Hadivent Savaş Dinçel Halit Akçatepe Gül Onat Ebru Karanfilci Meral Kaplan Pakize Suda Ercü Turan Serdal Genç Engin Günay Başak Koç İbrahim Gündoğan Elif Burgaz
Cinayet,Adam Film Akbel Film,1,7 Ocak 2014  ( 2014-01-07 )  -  9 Şubat 2014  ( 2014-02-09 ),Polisiye Suç,Kanal D  ( HD ),Nurgül Yeşilçay Engin Altan Düzyatan Uğur Polat Şükran Ovalı Ahmet Mümtaz Taylan Goncagül Sunar
Çocuk,1441 Productions,1,9 Eylül 2019 - 28 Ocak 2020,Dram Aile,Star TV,Nazan Kesal İsmail Hacıoğlu Serhat Teoman Merve Çağıran Ceyda Ateş Toplusoy Kenan Acar Mehmet Emin Güney
Kardeş Çocukları,Gold Film,2,27 Ocak 2019 - 8 Ekim 2019,Dram,Star TV,Mehmet Aslantuğ Ayça Bingöl Nur Fettahoğlu Afra Saraçoğlu Alara Turan Furkan Andıç Berkay Hardal
Kehribar,Süreç Film,1,18 Mart 2016 - 24 Haziran 2016,Aksiyon Dram,atv,Gürkan Uygun Ayça Varlıer Necip Memili
Aşk Mantık İntikam,No Dokuz Productions,1,18 Haziran 2021 - 22 Nisan 2022,Romantik komedi,FOX,Burcu Özberk İlhan Şen Melisa Döngel  (1-28) Burak Yörük  (1-28)
Sefirin Kızı,O3 Medya NGM,2,16 Aralık 2019 - 11 Mayıs 2021,Dram,Star TV,Engin Akyürek Neslihan Atagül Tuba Büyüküstün
Yeniden Çalıkuşu,Kalinos Prodüksiyon,1,Eylül 2005 - Kasım 2005,Drama,Star TV  (2005),Tuba Ünsal Burak Hakkı Kaan Urgancıoğlu Aliye Uzunatağan Zerrin Arbaş Suna Selen Itır Esen Ahmet Uz Kaya Akarsu Taner Ertürkler
Bir Modern Habil Kabil Hikayesi,,1,14 Eylül 2015 - 8 Ekim 2015,Dram,Samanyolu TV,Gürkan Günal Sercan Dede
Esir Şehrin Gözyaşları - Bir Ferhat ile Şirin Hikayesi,Koliba Film,1,28 Eylül 2012 - 31 Ekim 2012,Drama,FOX,Yiğit Özşener Sedef Avcı
Zirvedekiler,Erler Film,1,21 Şubat 1995 - 20 Haziran 1995,Drama,Show TV,Cüneyt Arkın Gülşen Bubikoğlu
Ölüm Çiçekleri-Saraybosna,,1,21 Mart 2008 - 11 Nisan 2008,Dram Savaş,Star TV  (2008),Erhan Emre Zeynep Beşerler
Tozkoparan İskender,Fotoroman Film,2,2 Ocak 2021 - 27 Mart 2022,Tarihî Macera Aksiyon Komedi Fantastik,TRT 1,Çağan Efe Ak Tuana Naz Tiryaki Yağız Kılınç  Leya Kırşan Deniz Erayvaz Berat Efe Parlar Alperen Efe Esmer Zeynep Doğangün
1 Erkek 1 Kadın 2 Çocuk,Altıoklar  (2008-2009) 1K1E  (2009-2012) Bando Yapım (2012-2015),8,2 Ekim 2008 - 8 Nisan 2015,Durum komedisi,TürkMax  (2008-2011)  Star TV  (2012-2013)  FOX  (2014-2015),Demet Evgar Emre Karayel
Tatlı Kaçıklar,Erler Film,5,6 Kasım 1996 - 15 Haziran 2001,Durum komedisi,atv  (1996-2001),Mehmet Ali Erbil Yalçın Menteş Buket Dereoğlu Neslihan Yeldan Pelin Körmükçü İsmet Ay Erol Günaydın Meltem Cumbul Kayhan Yıldızoğlu Ümit Okur Dursun Ali Sarıoğlu Yıldız Kaplan
Lale Devri,Avşar Film,4,14 Eylül 2010 - 8 Şubat 2014,Dram,Show TV  (2010)  FOX  (2010-2014),Tolgahan Sayışman Selen Soyder Emina Sandal Serenay Sarıkaya Hatice Aslan Kenan Bal Aykut Yılmaz
Dönence,D Media,1,4 Temmuz 2023 - 11 Ekim 2023,Romantik Dram Gençlik,Kanal D,Emre Kınay Caner Topçu Sümeyye Aydoğan Atakan Hoşgören
Sevginin Gücü,Erler Film,1,15 Şubat 1994 - 10 Mayıs 1994,,Show TV,Hülya Avşar Tarık Tarcan Tolga Savacı Maide Erçelebi Bülent Bilgiç
Ihlamurlar Altında,Avşar Film,2,16 Eylül 2005 - 29 Haziran 2007,Dram,Kanal D,Bülent İnal Tuba Büyüküstün Özge Borak Sinan Tuzcu
Sipahi,CNP Film,1,12 Aralık 2022 - 30 Ocak 2023,Aksiyon İstihbarat,Show TV,Kaan Yıldırım Özge Gürel Kerem Alışık
Sihirli Annem,Süreç Film,7,27 Şubat 2003 [1]  - 10 Mart 2012,Fantastik Komedi,"Kanal D  (2003-2005, 119 Bölüm) Star TV  (2006, 2011-2012, 121 Bölüm)",İnci Türkay Şahap Sayılgan Defne Joy Foster Zuhal Topal Nevra Serezli Ebru Karanfilci Metin Serezli Gül Onat
Evli ve Öfkeli,Süreç Film,1,4 Ekim 2015 - 15 Mayıs 2016,Dram,atv,Ayça Erturan Birce Akalay Yıldız Çağrı Atiksoy Ebru Cündübeyoğlu Sarp Akkaya Burak Sevinç Serkan Altunorak Sinan Eroğlu
Ege'nin Hamsisi,Köprü Film,1,16 Temmuz 2018 [1]  - 31 Aralık 2018,Komedi Aile,TRT 1,İclal Aydın Uğur Çavuşoğlu Uraz Kaygılaroğlu Bestemsu Özdemir
Bir Aile Hikayesi,Medyapım 20th Century Fox Television,2,9 Mart 2019 - 19 Ekim 2019,Dram Aile Komedi,FOX,Songül Öden Birkan Sokullu Celil Nalçakan Olgun Toker Elçin Afacan İrem Sak
İstanbullu Gelin,O3 Medya,3,3 Mart 2017 - 31 Mayıs 2019,Dram,Star TV,Özcan Deniz Aslı Enver
Üç Kuruş,Ay Yapım,1,1 Kasım 2021 - 30 Mayıs 2022,Aksiyon Dram Polisiye,Show TV,Uraz Kaygılaroğlu Ekin Koç Diren Polatoğulları Nesrin Cavadzade Aslıhan Malbora Civan Canova Nursel Köse Zafer Algöz Kadir Çermik Bora Akkaş Necip Memili
Beyaz Gelincik,TMC,2,19 Eylül 2005  ( 2005-09-19 ) [1] [2] [3]  - 11 Haziran 2007,Dram,atv,Erkan Petekkaya Sezin Akbaşoğulları Altan Erkekli Mehmet Günsür İsmail Hacıoğlu Rana Cabbar
İncir Ağacı,Sonsuzkare Yapım,1,14 Ekim 2019 - 1 Mayıs 2020,Dram,TRT 1,Özlem Güveli Arif Nazım
Benim Güzel Ailem,Fabrika Yapım,1,21 Haziran 2023 - 6 Aralık 2023,Aile Romantik komedi,TRT 1,Erdal Özyağcılar Onur Buldu Melis Babadağ
